m2_balance 	 583.470000,1786.250000,3840.010000,8325.150000
m4_payment 	 -6100.000000,-2800.000000,-1411.510000,-669.660000
m1_interest 	 9.830000,39.260000,80.680000,165.530000
m3_amortfee 	 20.400000,32.070000,54.470000,115.590000
m3_expense 	 528.000000,1292.440000,2714.400000,6155.000000
m2_payment 	 -6303.330000,-2900.000000,-1482.000000,-700.000000
m3_balance 	 580.000000,1757.320000,3777.660000,8167.250000
m4_balance 	 561.290000,1717.660000,3682.880000,8044.240000
a_rmb_m0overduefee 	 0.100000,15.770000,36.970000,82.990000
a_rmb_m3overduefee 	 0.100000,21.050000,36.320000,65.210000
m2_creditlimit 	 6000.000000,10000.000000,18000.000000,30000.000000
m3_payment 	 -6200.000000,-2830.510000,-1450.000000,-686.800000
m4_fee_others 	 3.000000,5.000000,50.000000,60.000000
m1_cash 	 500.000000,1000.000000,2000.000000,3900.000000
m1_fee_cash_token 	 7.000000,10.000000,20.000000,40.000000
m3_fee_cash_token 	 6.500000,10.000000,20.000000,40.000000
m4_fee_cash_token 	 7.000000,10.000000,20.000000,40.000000
m1_amortpay 	 -7500.000000,-4480.000000,-2909.000000,-1599.120000
a_rmb_m0is_overdue 	 1.000000
m2_overduefee 	 10.000000,20.000000,34.950000,65.210000
a_rmb_m4overduefee 	 0.100000,21.490000,35.470000,64.510000
billdateadjusted 	 1.000000
m2_cash 	 500.000000,1000.000000,2000.000000,3900.000000
a_rmb_m1overduefee_ratio 	 0.000000,0.010000,0.020000,0.030000
billdateadvanced 	 1.000000
m3_creditlimit 	 6000.000000,10000.000000,18000.000000,30000.000000
m3_cash 	 500.000000,1000.000000,2000.000000,3900.000000
m3_interest 	 10.070000,38.280000,78.560000,160.810000
a_rmb_m4is_overdue 	 1.000000
m1_cashlimit 	 3000.000000,5000.000000,9000.000000,15000.000000
m1_creditlimit 	 6000.000000,10000.000000,18000.000000,30000.000000
m1_fee_others 	 3.000000,5.000000,50.000000,60.000000
m4_interest 	 9.880000,37.720000,78.200000,158.690000
m2_amortpay 	 -7699.000000,-4488.000000,-2929.000000,-1624.420000
m1_fee_annual 	 90.000000,200.000000,300.000000,800.000000
m3_fee_annual 	 100.000000,200.000000,300.000000,800.000000
m4_fee_annual 	 100.000000,200.000000,300.000000,800.000000
m1_minpay 	 136.380000,280.610000,567.130000,1211.130000
m3_cashlimit 	 3000.000000,5000.000000,9000.000000,15000.000000
m3_fee_others 	 3.000000,5.000000,50.000000,60.000000
m4_creditlimit 	 6000.000000,10000.000000,18000.000000,30000.000000
m4_expense 	 520.090000,1272.590000,2663.590000,6078.100000
m2_interest 	 9.980000,38.830000,79.550000,162.990000
a_rmb_m0overduecnt 	 1.000000,2.000000,3.000000,4.000000
a_rmb_m2overduefee 	 0.100000,21.070000,36.050000,66.420000
m3_amortpay 	 -7600.000000,-4531.550000,-2929.920000,-1617.570000
m2_fee_others 	 3.000000,5.000000,50.000000,60.000000
m1_amortbill 	 261.170000,426.840000,764.120000,1628.620000
m3_amortbill 	 262.420000,424.580000,754.640000,1595.820000
m4_amortfee 	 20.400000,32.070000,54.890000,117.600000
a_rmb_m2is_overdue 	 1.000000
m4_amortpay 	 -7600.000000,-4499.000000,-3000.000000,-1696.610000
a_rmb_m3overduefee_ratio 	 0.000000,0.010000,0.020000,0.030000
m1_balance 	 574.820000,1791.900000,3880.520000,8464.580000
m1_payment 	 -6400.000000,-2919.050000,-1500.000000,-698.000000
m2_minpay 	 134.000000,277.000000,558.130000,1184.900000
m2_expense 	 531.000000,1308.500000,2755.200000,6290.010000
billmissed 	 1.000000
m4_overduefee 	 10.000000,20.000000,34.190000,64.040000
m4_amortbill 	 264.080000,424.000000,750.000000,1556.470000
m4_cash 	 500.000000,1000.000000,2000.000000,3700.000000
m3_overduefee 	 10.000000,20.000000,35.170000,64.080000
billdatepostponed 	 1.000000
m4_minpay 	 127.560000,265.660000,532.000000,1115.000000
a_rmb_m0overduefee_ratio 	 0.000000,0.010000,0.020000,0.030000
a_rmb_m1is_overdue 	 1.000000
a_rmb_m4overduefee_ratio 	 0.000000,0.010000,0.030000,0.050000
m2_cashlimit 	 3000.000000,5000.000000,9000.000000,15000.000000
m3_minpay 	 131.280000,272.460000,547.200000,1150.020000
m1_amortfee 	 20.330000,31.930000,53.920000,115.200000
m2_amortfee 	 20.330000,31.930000,53.920000,115.590000
m1_overduefee 	 10.000000,20.000000,35.240000,65.570000
a_rmb_m3is_overdue 	 1.000000
m2_fee_cash_token 	 7.000000,10.000000,20.000000,40.000000
m2_amortbill 	 261.170000,424.920000,760.000000,1619.890000
a_rmb_m1overduefee 	 0.100000,21.650000,37.100000,68.350000
m1_expense 	 530.000000,1312.800000,2786.240000,6344.350000
m4_cashlimit 	 3000.000000,5000.000000,9000.000000,15000.000000
a_rmb_m2overduefee_ratio 	 0.000000,0.010000,0.020000,0.030000
m2_fee_annual 	 90.000000,200.000000,300.000000,800.000000
